mirID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
mir21,0.226221621,-0.169124186,-0.144547507,0.05822197,0.116897725,-0.007273511,0.173888624,0.080196865,0.047110941,0.18799226,0.08260721,0.122353449,-0.135099322,-0.03398044,0.144297987,-0.012783526,0.058436558,-0.049672395,0.103637211,0.16802834,-0.062638424,-0.247108385,0.11627613,-0.020103404,0.349775195,-0.160356492,0.066528894,0.137791932,0.013711277,0.028366882,-0.10452082,0.026441544,-0.37690407,-0.14417778,0.01237007,-0.025743399,0.348564804,0.451590389,-0.097043365,0.206906542,-0.056278732,-0.008543804,-0.499355137,-0.013925057,-0.173293039,0.144776598,-0.187536627,0.051752206,-0.057355169,-0.197124898,-0.139932171,-0.301471174,0.224404722,0.282469153,-0.035162825,0.088950276,0.006066422,-0.433335781,-0.140020356,-0.204003394,0.141133681,0.372387707,-0.173607424,-0.196357608
mir22,0.218777657,-0.172536284,-0.142805502,0.044170216,0.121953584,0.015428396,0.177454576,0.086395726,0.041402545,0.191613644,0.101286851,0.159123287,-0.119128503,-0.03257877,0.168774828,-0.018699773,0.112899601,-0.007458536,0.111176476,0.171970233,-0.034744326,-0.242855534,0.11230503,-0.028794872,0.292924523,-0.164701521,-0.008592797,0.129926711,0.026086213,0.017628411,-0.088242866,-0.008595704,-0.397835672,-0.084554091,-0.075488165,-0.108947381,0.297438294,0.426177084,-0.094663545,0.205380619,-0.022756439,-0.008792907,-0.535487533,-0.008145862,-0.176983193,0.152717367,-0.199820399,0.042416628,-0.036125448,-0.205949813,-0.132138088,-0.303574979,0.250869364,0.241296902,0.035493836,0.122518606,0.002510554,-0.435900539,-0.151965082,-0.202137575,0.136065915,0.412965924,-0.121336028,-0.189364254
mir23,0.096057028,-0.13122198,-0.327219844,0.244934753,0.080879226,0.055102766,0.21154128,0.089899562,-0.021084111,0.186771303,-0.235100746,0.207478836,-0.058104452,-0.085650802,0.063175872,0.107164472,-0.082040161,0.255485475,-0.039035406,-0.085236855,-0.173501521,0.005177057,0.124124005,0.154381424,0.422167122,-0.303350627,-0.016610935,0.158112004,-0.040270884,0.033454888,-0.180721074,-0.013393085,-0.483165532,0.000316977,-0.103942975,-0.076867372,0.290430903,0.238541782,-0.069445975,0.281813085,-0.135775179,0.02112112,-0.437686116,-0.053639498,-0.183033094,0.117141105,-0.072370112,0.025929613,0.054454044,-0.121763587,-0.29836145,-0.329013944,0.153971761,0.307199955,0.176944777,0.030242894,0.213414997,-0.588565767,-0.134829938,-0.227330863,-0.12302386,0.238135815,0.0906175,-0.213176861
mir24,0.167765588,-0.093079515,-0.186658829,-0.0784906,0.113443933,0.075134397,0.261940926,0.084042639,-0.018285701,0.178955778,-0.059172593,-0.043143056,-0.025167352,-0.004989653,-0.027260747,0.056642074,0.387156785,0.363388032,-0.404823065,-0.118695252,-0.042494964,-0.051752403,0.130383417,0.052213848,0.339885771,-0.340228379,0.078263104,0.063173696,-0.044262379,0.04334322,-0.232095212,-0.08358334,-0.446869254,0.02830795,0.054672092,-0.262049824,0.3884224,0.260371059,0.009090208,0.120958731,0.100993745,0.053281996,-0.246380538,-0.022561515,-0.174704686,0.175366774,-0.068729445,0.021994138,0.177022621,-0.043675061,0.026910095,-0.316953361,-0.263602316,0.414647758,-0.082766131,0.183242843,0.264574677,-0.556605816,0.141674966,-0.220245942,-0.268859655,0.252139419,0.011479424,-0.211876482
mir25,0.008289159,-0.011988901,-0.052425273,-0.07632485,0.11659082,0.024833284,0.324409604,0.126100525,-0.058380216,0.198157817,0.099052541,0.120892785,-0.021905385,0.022963982,0.153927907,-0.010812129,0.247504711,0.27580741,-0.111271016,-0.124489307,-0.046486851,0.163224041,0.13492465,0.07247889,0.197030157,-0.426847935,0.050799921,0.018916449,-0.052298065,0.027204787,-0.20474264,-0.102475591,-0.521854281,0.086133584,-0.151877075,-0.190222964,0.323776692,0.207395613,-0.222168356,0.196922258,0.049083874,0.091157503,-0.414769799,-0.021969913,-0.286150217,0.241270751,-0.006241755,-0.071730994,0.216021419,0.184697255,0.364257872,-0.381892622,0.094826683,0.488648623,-0.010808336,-0.082364537,0.149976358,-0.609404445,-0.066239208,-0.180271983,-0.063753672,0.278162062,-0.12504071,-0.174323484
mir26,-0.112532444,-0.234377369,-0.322210222,0.068028949,0.13932316,0.15798898,0.115366399,0.266029209,-0.059758089,0.117643386,0.108574845,0.169507772,-0.078089803,-0.044431482,0.272143781,0.167011425,0.461169749,0.172505006,0.154333591,-0.220273167,0.0161849,0.085316278,0.140311703,-0.069545954,-0.094090797,-0.048177101,0.136048898,0.031453677,0.125995472,-0.064438827,-0.132106185,-0.082161359,-0.31596157,-0.088845424,-0.101536609,-0.047943633,0.250734627,0.424865931,-0.540954173,0.116024271,0.113075368,0.016029388,-0.62320292,0.252897054,-0.216888458,0.141532049,-0.088298127,0.25808835,-0.216758698,0.182271942,0.045823783,-0.194178671,0.025226656,0.203651845,0.078998432,0.036035806,0.032412712,-0.161423221,0.024121538,0.062010486,-0.175682947,0.493522525,-0.240484655,-0.109252051
mir27,-0.01547353,-0.137398705,-0.232681051,-0.064718254,0.090521738,-0.186548501,0.254787743,0.08598391,-0.122808188,0.127082199,0.043031801,0.029451979,-0.057530936,0.18030417,0.01243284,0.293912321,0.033848908,0.031469554,0.001695555,-0.110387564,-0.091428429,0.064388059,0.112309851,0.110493496,0.640331209,-0.230300948,-0.099084884,0.087239668,-0.105910026,0.011476433,-0.193143561,0.046314068,-0.552591622,0.077048525,0.005964309,-0.00293733,0.279937923,0.042406797,-0.249178231,0.216552809,0.028256718,-0.004147162,-0.327083468,-0.027878553,-0.148686424,0.190441042,0.227053523,0.033348538,0.101599827,-0.13928321,0.295453161,-0.167992502,0.180705503,0.595935881,0.021806603,-0.025461605,0.267785192,-0.456665665,0.060945947,0.01524518,-0.289860219,0.158442587,-0.214524612,-0.205720469
mir28,0.069549844,-0.152269632,-0.338719398,-0.044327624,0.124695115,-0.064354822,0.342876911,0.099029273,0.015726626,0.19912605,0.085556105,0.172627091,-0.033191264,0.046163231,-0.075874083,0.029456975,0.213103801,0.226348028,-0.187017545,-0.052170008,-0.112240084,-0.036450692,0.116524629,0.148121715,0.289082557,-0.398840845,-0.067784287,-0.033323552,-0.022299625,0.006926308,-0.21230568,-0.016615374,-0.572073758,0.114138491,-0.200958326,-0.186671495,0.248783261,0.351376593,0.16407147,0.224096537,0.014422348,-0.052522179,-0.494795442,-0.032786798,-0.289950281,0.160486832,-0.043595541,0.106277399,0.00051452,0.213702142,0.22632651,-0.31437099,-0.061672766,0.402954042,-0.049301066,0.188143596,0.148233801,-0.62875098,0.116493471,-0.198105231,-0.146750525,0.25825274,-0.009270315,-0.123415656
mir29,0.089322709,-0.192550451,-0.386491567,-0.087229043,0.120249838,-0.069526412,0.222035423,0.086128175,0.038723066,0.182337552,0.227476403,0.046623476,-0.074647404,-0.068090588,0.124422565,0.001472514,0.016186614,0.024708265,0.061322477,-0.066568136,-0.059182931,-0.136268571,0.114850715,0.135377452,0.208333179,-0.389864743,0.033063319,0.034794722,0.008704378,0.039494243,-0.148795873,0.093415745,-0.377717137,-0.084841445,0.050469324,-0.110233054,0.459682107,0.335595101,0.149412468,0.233530536,0.001484351,-0.087041818,-0.442494869,-0.013905147,-0.250562847,0.218995199,-0.061229147,0.201614693,0.077531643,0.218896404,0.151385859,-0.28226462,0.130036041,0.412522376,0.110383905,0.085669734,0.214112505,-0.608581007,0.003506444,-0.208522364,-0.12970075,0.314454883,-0.221161395,-0.240869731
mir30,0.018191956,-0.114160761,-0.329858869,-0.004872679,0.082496725,0.174119011,0.219432116,0.089861639,-0.014027763,0.159015194,0.028772911,0.163499743,-0.099087536,-0.044696447,0.108307496,0.017500401,0.027738679,0.017257471,0.147260264,-0.160728619,-0.11086271,-0.010049112,0.126697421,0.02538882,0.336281747,-0.246322319,-0.200932071,0.085195534,-0.024786465,-0.002201075,-0.14400132,-0.063611895,-0.483030647,0.124693409,-0.056708749,-0.018466529,0.343463749,0.266735315,0.322273582,0.217601746,-0.093425512,0.017995754,-0.439370632,-0.037185319,-0.17347616,0.147392347,-0.14609763,0.141982377,0.010339247,-0.210504025,0.02656992,-0.268776089,0.123792648,0.228011146,0.089497991,0.049762439,0.135671005,-0.560761213,-0.154722989,-0.214303777,-0.245182201,0.366285861,-0.243705302,-0.288619846
