SMID,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63
comp21,0.019290142,0.020337006,-0.559292495,-0.01830418,-0.036385439,0.34408918,-0.035906587,-0.029233284,0.072283939,0.027802439,0.071051322,-0.001424845,-0.011512081,0.028494619,-0.001497911,-0.007306421,-0.032712318,-0.009210506,-0.020525228,-0.02324417,-0.009165032,0.104966328,0.100295953,-0.184313834,-0.096455656,-0.221247315,-0.040494729,0.007587183,-0.043014646,0.119157523,-0.014054897,0.114518538,0.003579981,0.058944583,0.09181188,-0.007262534,-0.007771507,-0.016144238,-0.034363784,0.076660588,0.126018316,0.000778199,-0.064505875,0.010430528,0.045497615,0.391793609,-0.019754326,-0.297131389,-0.072950818,-0.001442955,0.04378444,-0.108135313,0.075295165,0.031887911,0.287886262,-0.008008442,0.061891012,-0.074795432,-0.052766226,-0.004127804,0.095826641,-0.007488504,-0.459353477,0.058499165
comp22,0.076905854,0.007054077,-0.659465969,-0.020953806,-0.029624533,0.361174732,0.009530516,-0.037602481,0.031409834,0.033069231,0.137878358,-0.023018116,-0.011208696,-0.049560536,0.048094038,0.00241147,-0.035926059,0.085591234,0.03732609,0.079496518,-0.02066735,0.053508449,0.091606393,-0.201062769,-0.038187712,-0.232136309,-0.105183169,0.071914546,-0.012480326,0.113073736,0.034783371,0.090393186,-0.085649632,0.060033262,0.091914535,0.021918105,0.044938218,-0.010316753,-0.072370864,0.001421527,0.12125513,0.020485114,0.004401445,0.026713315,-0.006746409,0.408899873,0.038257316,-0.295460016,-0.076164447,-0.085931033,0.046435297,-0.112514012,0.145734027,0.076967902,0.274715573,-0.046967942,0.039441377,-0.094094083,-0.038332392,0.044547923,0.05629053,-0.053353943,-0.479420453,0.00138469
comp23,0.072807983,-0.079550184,0.059423551,0.107211478,-0.021587789,0.487144083,-0.015642026,-0.090751722,-0.022240067,0.127937526,0.044473387,-0.027768692,-0.04222174,-0.011196101,0.02538038,0.027939392,-0.011237829,-0.010712938,-0.100196771,-0.001732084,0.145890966,0.012150751,0.037190266,-0.329240859,0.055704635,-0.219394997,0.025260331,-0.045362297,0.022824235,0.046495184,0.048116121,0.248419389,0.001849342,0.053495023,0.162131518,-0.023559811,-0.193673432,-0.026016865,-0.053414214,0.027589807,0.293165475,-0.045096133,-0.023292858,0.088298596,-0.000836164,0.374668807,0.062472217,-0.05336798,-0.014813613,-0.014633028,0.023514301,-0.240118355,0.019141721,-0.033595297,0.319016993,-0.033708669,0.041025266,0.030900186,0.02509661,-0.039286897,0.231155753,-0.029681578,-0.254361451,-0.000156134
comp24,0.067628898,-0.044058442,-0.939942241,-0.013518343,-0.023128383,0.261743575,-0.286190659,0.047990564,-0.063548446,0.057287008,0.101773374,0.144506082,-0.007220341,-0.081313998,0.045600235,0.048647452,-0.047320943,-0.074445143,-0.038913708,0.041454736,-0.077692918,0.003446474,0.065389894,-0.065729253,-0.089797229,-0.227067187,-0.597362459,0.056852873,-0.082346231,0.093057245,-0.01901176,-0.080659933,0.077195995,0.099076509,0.109001189,0.221244693,0.142834753,0.006086705,-0.118096903,0.101319961,0.090921283,-0.01575198,-0.021325676,-0.052294847,0.084269919,0.493961334,0.038708407,-0.507503688,0.079432502,-0.074304663,0.108105898,-0.094558164,0.084440403,-0.08781039,0.345240206,-0.048185505,-0.007876426,-0.128538311,-0.010358555,-0.069247328,-0.085711695,0.086784139,-0.862520516,0.023475811
comp25,0.065727361,0.000889382,-0.73132956,-0.016618621,-0.041646194,0.334468365,-0.038444422,-0.037121449,0.001386784,0.032217685,0.032949861,-0.003284462,-0.012428665,0.021938521,0.122366831,0.039553963,-0.042947479,-0.044202328,-0.005559986,0.03086984,-0.064766027,0.071346231,0.089816242,-0.155178607,-0.037010536,-0.213894814,-0.143406257,-0.031269699,-0.025440535,0.101508677,-0.011762394,0.060741428,0.037213802,0.068107694,0.103587784,-0.047166228,0.031296276,-0.040462568,-0.048918478,0.029317461,0.109191895,-0.060438041,-0.061338384,0.096453041,-0.010963132,0.439270407,0.035440832,-0.339535743,-0.035532966,0.037071194,0.057765722,-0.068995178,0.004727278,0.007173327,0.348627388,-0.058353014,0.013384602,-0.071688458,-0.029611494,-0.051682588,0.072293863,0.00689936,-0.588225424,0.100754872
comp26,0.050701607,-0.057174291,0.06892629,0.09345676,-0.029569358,0.512532592,-0.031305335,-0.073034249,-0.137302592,0.146177515,-0.212271184,-0.012365748,-0.042436048,0.029759351,-0.053992979,-0.00426233,-0.015876999,0.052611422,0.009068372,-0.026262568,0.133720383,-0.038578659,0.081793398,-0.323096991,0.0091336,-0.214433759,0.019969074,0.019919492,-0.052152436,0.029738476,0.092775784,0.145347476,-0.008886415,0.088594019,0.133070484,0.063454181,-0.120348461,0.001968219,-0.023545969,-0.060846299,0.327551901,0.032823823,0.015429975,0.032619119,0.013064242,0.394625008,-0.079861991,-0.051819913,-0.09726809,-0.021212256,0.021534985,-0.203366354,0.03896163,0.066745169,0.337366909,-0.074723467,0.048208799,0.014620686,-0.086788893,0.039163839,0.246401846,-0.010755281,-0.410736918,0.065844148
comp27,0.026428148,-0.004439764,-0.161322922,-0.004829884,-0.029084887,0.451129407,-0.044746157,-0.008024323,-0.002330472,0.024744758,0.143054575,0.02101448,-0.010037403,0.038623944,-0.07779181,-0.039939772,-0.005820535,-0.006156481,-0.118048429,0.06247782,0.025502983,0.010946868,0.084921241,-0.24822405,-0.036526136,-0.203998148,0.056118719,0.027525809,0.003802905,0.122453064,-0.006783723,0.212935284,0.004134375,0.051464353,0.076758601,0.026545664,-0.123823524,-0.03177423,-0.006212647,0.024627628,0.198574632,0.034675468,-0.042244263,0.041864648,-3.30E-05,0.504009664,-0.020943331,-0.233497486,-0.110030502,0.002697845,0.018781215,-0.0822125,0.109597802,0.017228821,0.304258883,-0.058969315,0.004333095,-0.134101018,0.034674402,-0.003375567,0.167212516,0.046442531,-0.319692612,-0.038706303
comp28,0.04938202,-0.096617326,-0.937923074,-0.015681092,-0.008265383,0.258892924,0.004044385,0.084572248,-0.021687556,0.020949887,0.16152662,0.008284829,-0.005856049,0.027260223,0.073968947,0.070480876,-0.048310071,0.027580801,-0.033992603,0.06779284,-0.171086445,0.094470561,0.075106554,-0.1144289,-0.093040518,-0.213992491,-0.696685731,0.126739413,-0.080590203,0.084931523,0.085598677,-0.10413029,-0.03887634,0.102486134,0.081474386,0.101618275,0.142939031,-0.007893305,-0.098361328,0.183347434,0.099461854,0.046178117,-0.073123194,0.065971516,0.016078401,0.457499385,0.05049514,-0.501792908,-0.030791875,-0.092919305,0.09859699,-0.057756878,0.177949816,0.084417515,0.459929615,-0.04970767,-0.009112438,-0.117775068,-0.125834227,0.007499368,-0.147781894,0.139738932,-0.875622571,0.071303308
comp29,-0.012609539,-0.057371229,-0.590438962,-0.013995986,-0.031696834,0.342943996,0.004728237,-0.058452707,-0.032983296,0.028082645,0.070082866,-0.005979289,-0.011989189,-0.048645943,0.039537273,0.031940348,-0.035673238,-0.005236925,-0.029804813,0.044666097,0.034938116,-0.046095379,0.084547259,-0.120783657,0.023683753,-0.205249101,-0.042748168,-0.012401674,0.036730517,0.104481727,0.108993977,0.111547172,-0.041288625,0.058612645,0.099445894,-0.033328358,-0.032152947,-0.031972542,-0.036703285,-0.020053217,0.123512983,-0.058574576,-0.020188475,0.062660769,-0.008449113,0.415034056,-0.025065476,-0.297518522,-0.0079237,-0.039849911,0.045266896,-0.129345909,0.053943951,0.003484498,0.263278127,-0.022778748,0.052882284,-0.032827932,-0.005931353,-0.049356848,0.162158117,-0.025761208,-0.563531756,0.063411862
comp30,0.047820792,0.010772075,-0.787951112,-0.017110215,-0.034744762,0.328297466,-0.219405144,-0.032774258,-0.036217954,0.048218526,0.114344001,-0.004969535,-0.012181232,-0.082492962,0.010295505,0.048500892,-0.057417896,0.007298149,-0.007992337,0.075413108,-0.018586317,-0.129021019,0.07154721,-0.127256185,-0.081003435,-0.250207126,-0.206295669,0.049657665,0.010087884,0.102261513,-0.019694226,0.007482972,0.041376594,0.067244619,0.1037971,0.11840263,0.092392929,-0.054948237,-0.087107979,0.019727886,0.110703975,-0.017828561,-0.012307046,-0.01650512,-0.01571683,0.392974854,0.007846052,-0.338294566,0.084412403,-0.066429108,0.068594754,-0.122558862,0.077784956,0.003694841,0.298393667,-0.002526134,0.027180728,-0.031911779,0.055548426,-0.056169935,0.084248915,0.022498827,-0.670078576,0.070461027
