CID,SMILES
CID:3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CID:3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
CID:3042,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
CID:3052,CCN(CC)C(=O)N1CCN(CC1)C
CID:3055,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
CID:3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
CID:3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
CID:3103,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3
CID:3105,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C
CID:3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
CID:3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
CID:3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
CID:3121,CCCC(CCC)C(=O)O
CID:3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
CID:3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
CID:3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
CID:3162,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
CID:3168,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
CID:3180,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2
CID:3182,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
CID:3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CID:3202,CC[N+](C)(C)C1=CC(=CC=C1)O
CID:3219,CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C
CID:3226,C(C(OC(F)F)(F)F)(F)Cl
CID:3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
CID:3241,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
CID:3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
CID:3290,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
CID:3291,CCC1(CC(=O)NC1=O)C
CID:3292,CCN1C(=O)C(NC1=O)C2=CC=CC=C2
CID:3295,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
CID:3305,CC(O)(P(=O)(O)O)P(=O)(O)O
CID:3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
CID:3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
CID:3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
CID:3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
CID:3341,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
CID:3342,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
CID:3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
CID:3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
CID:3348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
CID:3354,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
CID:3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
CID:3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
CID:3366,C1=NC(=O)NC(=C1F)N
CID:3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
CID:3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
CID:3385,C1=C(C(=O)NC(=O)N1)F
CID:3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CID:3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
CID:3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CID:3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
CID:3406,CC1=CNN=C1
CID:3410,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
CID:3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
CID:3446,C1CCC(CC1)(CC(=O)O)CN
CID:3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
CID:3467,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
CID:3475,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
CID:3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
CID:3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
CID:3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
CID:3494,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C
CID:3510,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
CID:3518,C1CCCN(CCC1)CCN=C(N)N
CID:3519,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl
CID:3520,C(=N)(N)N
CID:3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
CID:3562,C(C(F)(F)F)(Cl)Br
CID:3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
CID:3637,C1=CC=C2C(=C1)C=NN=C2NN
CID:3647,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
CID:3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
CID:3657,C(=O)(N)NO
CID:3658,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CID:3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CID:3675,C1=CC=C(C=C1)CCNN
CID:3676,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
CID:3677,CC(C)(CC1=CC=CC=C1)NC
CID:3678,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2
CID:3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
CID:3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N
CID:3702,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
CID:3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
CID:3739,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I
CID:3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
CID:3759,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
